elapsed_h,sample,temp_c,internal_c,freq_high,freq_low,fault,timestamp
0.49084087111111113,3474,1.0,16.62,2140,267488,0,2026-01-03T07:16:48.057829
0.49400762861111114,3475,0.75,16.5,2138,267304,0,2026-01-03T07:16:59.458156
0.49717435666666665,3476,1.5,16.75,2140,267120,0,2026-01-03T07:17:10.858377
0.5003410286111111,3477,0.75,16.68,2138,266882,0,2026-01-03T07:17:22.258396
0.5035077658333333,3478,0.75,16.62,2138,266660,0,2026-01-03T07:17:33.658650
0.5066744672222222,3479,1.0,16.62,2134,266392,0,2026-01-03T07:17:45.058775
0.5098412136111111,3480,1.25,16.43,2132,266192,0,2026-01-03T07:17:56.459062
0.5130079677777778,3481,1.75,16.5,2138,265992,0,2026-01-03T07:18:07.859377
0.5161746422222222,3482,1.75,16.56,2134,265784,0,2026-01-03T07:18:19.259405
0.5193414266666667,3483,1.75,16.68,2136,265596,0,2026-01-03T07:18:30.659829
0.522508075,3484,1.5,16.62,2134,265402,0,2026-01-03T07:18:42.059763
0.5256748258333334,3485,1.5,16.81,2138,265228,0,2026-01-03T07:18:53.460066
0.5288415541666667,3486,1.75,16.75,2140,265028,0,2026-01-03T07:19:04.860288
0.5320082786111111,3487,2.0,16.75,2150,264824,0,2026-01-03T07:19:16.260496
0.5351750244444444,3488,1.5,16.56,2130,264640,0,2026-01-03T07:19:27.660781
0.5383417080555556,3489,1.5,16.43,2130,264474,0,2026-01-03T07:19:39.060842
0.5415084480555555,3490,1.75,16.56,2128,264330,0,2026-01-03T07:19:50.461106
0.5446751661111111,3491,1.75,16.75,2132,264162,0,2026-01-03T07:20:01.861291
0.5478418944444444,3492,1.75,16.75,2138,263972,0,2026-01-03T07:20:13.261513
0.5510086683333333,3493,1.75,16.62,2126,263822,0,2026-01-03T07:20:24.661899
0.5541753280555556,3494,1.5,16.68,2126,263588,0,2026-01-03T07:20:36.061874
0.5573420622222223,3495,1.75,16.62,2156,263466,0,2026-01-03T07:20:47.462117
0.5605087913888889,3496,1.75,16.62,2156,263310,0,2026-01-03T07:20:58.862342
0.5636754930555555,3497,2.0,16.81,2140,263210,0,2026-01-03T07:21:10.262468
0.5668422766666666,3498,1.75,16.68,2132,263076,0,2026-01-03T07:21:21.662889
0.5700089355555555,3499,1.5,16.68,2130,262914,0,2026-01-03T07:21:33.062861
0.5731756683333333,3500,1.75,16.62,2128,262810,0,2026-01-03T07:21:44.463099
0.5763423863888889,3501,1.75,16.62,2122,262252,0,2026-01-03T07:21:55.863284
0.5795091808333334,3502,1.75,16.68,2116,261914,0,2026-01-03T07:22:07.263744
0.5826758686111111,3503,1.25,16.56,2108,261620,0,2026-01-03T07:22:18.663820
0.5858425566666666,3504,1.5,16.56,2092,261358,0,2026-01-03T07:22:30.063897
0.5890092661111112,3505,1.75,16.62,2086,261138,0,2026-01-03T07:22:41.464051
0.5921760194444444,3506,1.75,16.56,2082,260900,0,2026-01-03T07:22:52.864363
0.5953426888888889,3507,1.75,16.5,2074,260608,0,2026-01-03T07:23:04.264373
0.5985094533333334,3508,2.0,16.81,2066,260314,0,2026-01-03T07:23:15.664725
0.6016761597222222,3509,1.75,16.56,2070,260032,0,2026-01-03T07:23:27.064868
0.60484288,3510,1.5,16.68,2062,259702,0,2026-01-03T07:23:38.465061
0.6080096491666667,3511,1.5,16.62,2056,259478,0,2026-01-03T07:23:49.865430
